circuitId,circuit_name,location,country,lat,lng,race_count,first_year,last_year,is_australia
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,20,1953,1998,false
29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,11,1985,1995,true
1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,27,1996,2024,true
70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,38,1970,2024,false
57,Zeltweg,Styria,Austria,47.2039,14.7478,1,1964,1964,false
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,8,2016,2024,false
3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,21,2004,2024,false
50,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,2,1972,1974,false
40,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,10,1973,1984,false
13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,57,1950,2024,false
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,10,1978,1989,false
18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,41,1973,2024,false
7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,43,1978,2024,false
48,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,8,1967,1977,false
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,2,1968,1970,false
17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,17,2004,2024,false
51,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,4,1965,1972,false
41,Dijon-Prenois,Dijon,France,47.3625,4.89913,6,1974,1984,false
34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,18,1971,2022,false
54,Le Mans,Le Mans,France,47.95,0.224231,1,1967,1967,false
8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,18,1991,2008,false
55,Reims-Gueux,Reims,France,49.2542,3.93083,11,1950,1966,false
53,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,5,1952,1968,false
61,AVUS,Berlin,Germany,52.4806,13.2514,1,1959,1959,false
10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,37,1970,2019,false
20,Nürburgring,Nürburg,Germany,50.3356,6.9475,41,1951,2020,false
11,Hungaroring,Budapest,Hungary,47.5789,19.2486,39,1986,2024,false
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,3,2011,2013,false
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,31,1980,2024,false
14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,74,1950,2024,false
